asin,title,main_category,price,average_rating,rating_number,features,description,images
B00000273,BrandB Tools Product 273,Tools,141.46947779180547,4.597566471547331,48,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_273.jpg']
B00000274,BrandD Bath Product 274,Bath,17.375737036812,3.1770868212272365,327,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_274.jpg']
B00000275,BrandD Tools Product 275,Tools,97.8507648505718,4.747354228372678,248,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_275.jpg']
B00000276,BrandB Skincare Product 276,Skincare,22.837906915600218,3.672740927656844,349,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_276.jpg']
B00000277,BrandA Tools Product 277,Tools,43.42880040756233,3.2209482262627893,151,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_277.jpg']
B00000278,BrandB Bath Product 278,Bath,51.48313686383861,3.46721550209982,674,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_278.jpg']
B00000279,BrandE Skincare Product 279,Skincare,148.28113456304442,3.8555462674717247,826,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_279.jpg']
B00000280,BrandD Skincare Product 280,Skincare,40.55554430110898,4.899922367900451,70,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_280.jpg']
B00000281,BrandC Tools Product 281,Tools,92.39759205625435,4.964661030160164,328,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_281.jpg']
B00000282,BrandC Bath Product 282,Bath,136.52135540453787,4.978369819626717,720,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_282.jpg']
B00000283,BrandD Fragrance Product 283,Fragrance,42.43403819368208,4.885463548270251,584,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_283.jpg']
B00000284,BrandE Bath Product 284,Bath,126.28995248508744,3.2406775240699917,116,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_284.jpg']
B00000285,BrandA Makeup Product 285,Makeup,40.868069269824545,3.3728765242885093,268,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_285.jpg']
B00000286,BrandE Bath Product 286,Bath,18.09797471887549,4.938205260281623,698,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_286.jpg']
B00000287,BrandC Skincare Product 287,Skincare,93.61837014024775,4.050063001720536,900,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_287.jpg']
B00000288,BrandC Makeup Product 288,Makeup,116.15338659857278,4.392041236107584,225,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_288.jpg']
B00000289,BrandC Haircare Product 289,Haircare,41.42168005713249,3.447635229645246,98,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_289.jpg']
B00000290,BrandD Skincare Product 290,Skincare,91.21206909729356,3.1829736747955097,626,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_290.jpg']
B00000291,BrandC Haircare Product 291,Haircare,28.132088979592584,4.777496159737955,930,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_291.jpg']
B00000292,BrandD Makeup Product 292,Makeup,14.95913157859631,3.658102730739742,546,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_292.jpg']
B00000293,BrandC Tools Product 293,Tools,22.17814638759742,3.816906426141397,984,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_293.jpg']
B00000294,BrandC Bath Product 294,Bath,111.2788159164019,3.9917514701575416,463,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_294.jpg']
B00000295,BrandD Tools Product 295,Tools,25.325640407623546,4.788959861936135,982,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_295.jpg']
B00000296,BrandB Skincare Product 296,Skincare,79.32051378195641,3.961173154653296,358,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_296.jpg']
B00000297,BrandB Haircare Product 297,Haircare,89.98465186874037,4.324224020213129,49,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_297.jpg']
B00000298,BrandE Haircare Product 298,Haircare,47.38395782371899,4.757259972710316,156,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_298.jpg']
B00000299,BrandA Fragrance Product 299,Fragrance,32.02769235835363,3.320800210660144,790,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_299.jpg']
B00000300,BrandE Haircare Product 300,Haircare,107.6460046336997,4.360281543520601,200,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_300.jpg']
B00000301,BrandF Haircare Product 301,Haircare,36.491015569900824,4.7632742655407005,566,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_301.jpg']
B00000302,BrandA Makeup Product 302,Makeup,14.09461962483828,4.651633501129526,403,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_302.jpg']
B00000303,BrandE Haircare Product 303,Haircare,114.09115588082508,3.321519792096616,365,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_303.jpg']
B00000304,BrandF Makeup Product 304,Makeup,115.92901252989085,3.517376661395816,971,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_304.jpg']
B00000305,BrandF Tools Product 305,Tools,55.700700710461014,4.119688624617659,369,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_305.jpg']
B00000306,BrandD Makeup Product 306,Makeup,11.270136651381495,4.637358840999683,335,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_306.jpg']
B00000307,BrandF Haircare Product 307,Haircare,12.579880623350446,3.864481567785025,840,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_307.jpg']
B00000308,BrandD Fragrance Product 308,Fragrance,35.12962527933668,4.507397668101039,287,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_308.jpg']
B00000309,BrandD Fragrance Product 309,Fragrance,106.30400112211387,3.1356741182103436,740,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_309.jpg']
B00000310,BrandD Skincare Product 310,Skincare,19.429084205628037,4.164340920352546,714,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_310.jpg']
B00000311,BrandB Bath Product 311,Bath,20.457218486099563,4.704829318397295,279,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_311.jpg']
B00000312,BrandD Tools Product 312,Tools,114.95125644400946,3.260172480261264,390,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_312.jpg']
B00000313,BrandE Fragrance Product 313,Fragrance,13.097297214059616,3.6472204382990823,88,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_313.jpg']
B00000314,BrandC Haircare Product 314,Haircare,105.66135272491073,3.891805412753497,439,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_314.jpg']
B00000315,BrandE Makeup Product 315,Makeup,142.20250889409618,3.204387239387438,498,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_315.jpg']
B00000316,BrandE Tools Product 316,Tools,51.77242033859896,4.679894329344943,696,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_316.jpg']
B00000317,BrandD Bath Product 317,Bath,101.63156999935893,3.546519053996419,858,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_317.jpg']
B00000318,BrandD Bath Product 318,Bath,14.382323924652274,4.462540133947371,312,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_318.jpg']
B00000319,BrandC Tools Product 319,Tools,145.0328661178292,4.520188156876195,462,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_319.jpg']
B00000320,BrandC Haircare Product 320,Haircare,67.30676088410603,4.788198407358269,536,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_320.jpg']
B00000321,BrandE Makeup Product 321,Makeup,38.05028009681977,4.736245626981062,801,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_321.jpg']
B00000322,BrandB Fragrance Product 322,Fragrance,131.01015497754918,3.9464198133831143,593,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_322.jpg']
B00000323,BrandF Fragrance Product 323,Fragrance,38.51817489867839,3.1823289808123834,529,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_323.jpg']
B00000324,BrandF Haircare Product 324,Haircare,84.24961512195586,3.0357237849566387,358,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_324.jpg']
B00000325,BrandE Fragrance Product 325,Fragrance,137.65704489438755,4.935022527227556,925,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_325.jpg']
B00000326,BrandA Bath Product 326,Bath,10.172456923299624,4.196654530244854,903,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_326.jpg']
B00000327,BrandD Fragrance Product 327,Fragrance,70.24282528592478,3.4010494534006734,965,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_327.jpg']
B00000328,BrandF Bath Product 328,Bath,55.62956495329048,4.180527877771245,593,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_328.jpg']
B00000329,BrandE Haircare Product 329,Haircare,30.941289973459206,3.9291971932716203,999,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_329.jpg']
B00000330,BrandF Makeup Product 330,Makeup,146.45797926189658,4.44377525585387,20,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_330.jpg']
B00000331,BrandA Tools Product 331,Tools,130.41713560648864,4.5597019777867,401,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_331.jpg']
B00000332,BrandF Haircare Product 332,Haircare,114.88262947417964,3.291844148070291,597,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_332.jpg']
B00000333,BrandF Skincare Product 333,Skincare,29.949376006211853,3.997776306902712,95,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_333.jpg']
B00000334,BrandD Fragrance Product 334,Fragrance,58.44231947027754,4.551609471585913,251,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_334.jpg']
B00000335,BrandA Fragrance Product 335,Fragrance,82.4796300738596,3.175732998289667,982,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_335.jpg']
B00000336,BrandA Bath Product 336,Bath,125.43196656555673,3.7156027018565427,112,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_336.jpg']
B00000337,BrandF Makeup Product 337,Makeup,89.45571875661814,4.378929938274531,152,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_337.jpg']
B00000338,BrandB Makeup Product 338,Makeup,33.447561516269765,3.2091356806688003,980,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_338.jpg']
B00000339,BrandC Tools Product 339,Tools,135.47098237590535,4.189553274753872,82,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_339.jpg']
B00000340,BrandB Skincare Product 340,Skincare,140.92825414192436,4.894700925262077,869,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_340.jpg']
B00000341,BrandD Bath Product 341,Bath,57.52302695599285,4.629650227493024,16,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_341.jpg']
B00000342,BrandD Haircare Product 342,Haircare,87.42020336287418,4.19495172526386,31,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_342.jpg']
B00000343,BrandC Makeup Product 343,Makeup,15.705574852946187,3.3279989619789943,23,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_343.jpg']
B00000344,BrandB Haircare Product 344,Haircare,18.449291758678932,3.494206468020293,918,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_344.jpg']
B00000345,BrandE Skincare Product 345,Skincare,96.20388307191399,3.6580348756293244,759,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_345.jpg']
B00000346,BrandE Fragrance Product 346,Fragrance,35.4965081964179,4.579397014284958,704,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_346.jpg']
B00000347,BrandD Haircare Product 347,Haircare,87.75089713126837,4.438403556544528,671,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_347.jpg']
B00000348,BrandA Tools Product 348,Tools,79.05875854973193,3.1630529791048536,764,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_348.jpg']
B00000349,BrandE Haircare Product 349,Haircare,20.107777257084617,3.0613050044116124,362,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_349.jpg']
B00000350,BrandA Fragrance Product 350,Fragrance,131.55815075717328,4.4543381395326165,966,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_350.jpg']
B00000351,BrandE Fragrance Product 351,Fragrance,58.43089895657481,3.742077525969205,541,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_351.jpg']
B00000352,BrandB Fragrance Product 352,Fragrance,131.3844094571428,4.157350817144787,429,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_352.jpg']
B00000353,BrandE Makeup Product 353,Makeup,65.37212377886213,4.212377427122343,344,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_353.jpg']
B00000354,BrandD Makeup Product 354,Makeup,69.04092976228375,3.5536555944701034,380,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_354.jpg']
B00000355,BrandF Makeup Product 355,Makeup,60.28114415327241,3.7676943037355928,539,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_355.jpg']
B00000356,BrandA Tools Product 356,Tools,28.41947591781637,4.431649929364177,761,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_356.jpg']
B00000357,BrandB Bath Product 357,Bath,43.25606548934287,4.942790188083279,384,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_357.jpg']
B00000358,BrandE Tools Product 358,Tools,19.678590066126723,3.874330777633653,511,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_358.jpg']
B00000359,BrandE Fragrance Product 359,Fragrance,72.34273570037317,4.029634707859381,994,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_359.jpg']
B00000360,BrandB Fragrance Product 360,Fragrance,23.33661111364768,4.3042464910608755,866,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_360.jpg']
B00000361,BrandD Skincare Product 361,Skincare,46.13868057815785,4.313473329082584,458,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_361.jpg']
B00000362,BrandD Fragrance Product 362,Fragrance,145.77494631099626,3.9075790827672785,404,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_362.jpg']
B00000363,BrandC Makeup Product 363,Makeup,71.88341232960005,3.661778725978344,614,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_363.jpg']
B00000364,BrandD Makeup Product 364,Makeup,126.04367122356533,3.861775047323612,285,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_364.jpg']
B00000365,BrandD Haircare Product 365,Haircare,108.94881036396241,3.3340838158018995,989,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_365.jpg']
B00000366,BrandA Fragrance Product 366,Fragrance,94.7753420702836,3.7134641060800035,213,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_366.jpg']
B00000367,BrandA Tools Product 367,Tools,128.1838628556876,4.611340305900106,165,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_367.jpg']
B00000368,BrandD Bath Product 368,Bath,85.58681753030974,3.068375531878316,343,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_368.jpg']
B00000369,BrandA Makeup Product 369,Makeup,84.36373392014448,4.873211384589923,806,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_369.jpg']
B00000370,BrandC Skincare Product 370,Skincare,73.30786395968093,4.86775003505581,846,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_370.jpg']
B00000371,BrandA Skincare Product 371,Skincare,91.85389806196243,4.376415731733191,285,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_371.jpg']
B00000372,BrandB Tools Product 372,Tools,145.11661750104636,3.009879961868819,226,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_372.jpg']
B00000373,BrandE Makeup Product 373,Makeup,131.5085612328031,3.909479711267718,504,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_373.jpg']
B00000374,BrandB Haircare Product 374,Haircare,57.97148833692815,4.064489977652598,160,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_374.jpg']
B00000375,BrandE Bath Product 375,Bath,30.095930685515,4.879639583853684,901,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_375.jpg']
B00000376,BrandE Makeup Product 376,Makeup,23.146100210518576,4.345204236450252,361,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_376.jpg']
B00000377,BrandE Bath Product 377,Bath,144.86855659485587,3.5106130494568637,202,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_377.jpg']
B00000378,BrandC Makeup Product 378,Makeup,105.65472396055041,3.994349528016855,154,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_378.jpg']
B00000379,BrandA Makeup Product 379,Makeup,14.25418835755716,4.861897391013955,823,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_379.jpg']
B00000380,BrandA Fragrance Product 380,Fragrance,94.08533595647306,4.88175071267613,663,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_380.jpg']
B00000381,BrandE Tools Product 381,Tools,90.80593313964474,3.697147334483941,971,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_381.jpg']
B00000382,BrandF Makeup Product 382,Makeup,54.53561750653673,4.73287733505529,98,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_382.jpg']
B00000383,BrandA Tools Product 383,Tools,22.667437340187107,3.5773711910612764,980,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_383.jpg']
B00000384,BrandB Fragrance Product 384,Fragrance,66.57964503114462,3.6540663231264774,623,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_384.jpg']
B00000385,BrandF Haircare Product 385,Haircare,136.1925909423822,4.755782318082655,288,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_385.jpg']
B00000386,BrandE Haircare Product 386,Haircare,124.49679026450302,3.240418110741217,831,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_386.jpg']
B00000387,BrandE Skincare Product 387,Skincare,55.44201618603784,3.732923069742796,720,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_387.jpg']
B00000388,BrandC Tools Product 388,Tools,64.3981341778484,3.8973872452450613,314,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_388.jpg']
B00000389,BrandC Skincare Product 389,Skincare,41.817747816841205,3.1463918475368873,876,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_389.jpg']
B00000390,BrandF Bath Product 390,Bath,96.72864844134602,3.9269880876011447,12,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_390.jpg']
B00000391,BrandB Tools Product 391,Tools,143.20699835323876,4.694334722745149,933,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_391.jpg']
B00000392,BrandE Tools Product 392,Tools,57.77469586766189,3.760391237571714,313,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_392.jpg']
B00000393,BrandD Tools Product 393,Tools,76.73736650576228,3.7887306476367004,352,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_393.jpg']
B00000394,BrandF Bath Product 394,Bath,110.53723067170921,4.91104739190987,30,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_394.jpg']
B00000395,BrandE Haircare Product 395,Haircare,135.72427685299817,3.4869645931525985,724,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_395.jpg']
B00000396,BrandD Haircare Product 396,Haircare,140.821043752772,3.703245374479269,811,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_396.jpg']
B00000397,BrandE Bath Product 397,Bath,96.42924603781638,4.046169449163569,503,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_397.jpg']
B00000398,BrandE Haircare Product 398,Haircare,122.42362569657288,4.0783225533505085,153,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_398.jpg']
B00000399,BrandD Makeup Product 399,Makeup,110.46901002720813,3.7998104136083124,598,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_399.jpg']
B00000400,BrandB Fragrance Product 400,Fragrance,27.064053067172658,3.3622986990693606,360,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_400.jpg']
B00000401,BrandB Fragrance Product 401,Fragrance,121.96935335936303,3.3691702590740658,968,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_401.jpg']
B00000402,BrandB Skincare Product 402,Skincare,35.931982516637355,4.835504978342755,93,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_402.jpg']
B00000403,BrandF Fragrance Product 403,Fragrance,122.83895696852214,4.100453084312523,385,"['Feature 0', 'Feature 1', 'Feature 2']",High quality fragrance product with premium ingredients,['https://placeholder-images.com/product_403.jpg']
B00000404,BrandB Tools Product 404,Tools,25.722608217570684,3.0051680296899645,927,"['Feature 0', 'Feature 1', 'Feature 2']",High quality tools product with premium ingredients,['https://placeholder-images.com/product_404.jpg']
B00000405,BrandE Bath Product 405,Bath,133.78890486877708,3.456159543897865,530,"['Feature 0', 'Feature 1', 'Feature 2']",High quality bath product with premium ingredients,['https://placeholder-images.com/product_405.jpg']
B00000406,BrandB Makeup Product 406,Makeup,60.50815267548398,4.8117822095755205,161,"['Feature 0', 'Feature 1', 'Feature 2']",High quality makeup product with premium ingredients,['https://placeholder-images.com/product_406.jpg']
B00000407,BrandB Skincare Product 407,Skincare,45.790299693298124,3.60412100366959,673,"['Feature 0', 'Feature 1', 'Feature 2']",High quality skincare product with premium ingredients,['https://placeholder-images.com/product_407.jpg']
B00000408,BrandD Haircare Product 408,Haircare,69.32335551082679,4.335099798582941,155,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_408.jpg']
B00000409,BrandD Haircare Product 409,Haircare,30.958555513974083,3.847889625826604,590,"['Feature 0', 'Feature 1', 'Feature 2']",High quality haircare product with premium ingredients,['https://placeholder-images.com/product_409.jpg']
